0x000 _version
0x004 _env_is_chip
0x008 _set_intr
0x00c _clear_intr
0x010 _set_isr
0x014 _ints_on
0x018 _ints_off
0x01c _is_from_isr
0x020 _spin_lock_create
0x024 _spin_lock_delete
0x028 _wifi_int_disable
0x02c _wifi_int_restore
0x030 _task_yield_from_isr
0x034 _semphr_create
0x038 _semphr_delete
0x03c _semphr_take
0x040 _semphr_give
0x044 _wifi_thread_semphr_get
0x048 _mutex_create
0x04c _recursive_mutex_create
0x050 _mutex_delete
0x054 _mutex_lock
0x058 _mutex_unlock
0x05c _queue_create
0x060 _queue_delete
0x064 _queue_send
0x068 _queue_send_from_isr
0x06c _queue_send_to_back
0x070 _queue_send_to_front
0x074 _queue_recv
0x078 _queue_msg_waiting
0x07c _event_group_create
0x080 _event_group_delete
0x084 _event_group_set_bits
0x088 _event_group_clear_bits
0x08c _event_group_wait_bits
0x090 _task_create_pinned_to_core
0x094 _task_create
0x098 _task_delete
0x09c _task_delay
0x0a0 _task_ms_to_tick
0x0a4 _task_get_current_task
0x0a8 _task_get_max_priority
0x0ac _malloc
0x0b0 _free
0x0b4 _event_post
0x0b8 _get_free_heap_size
0x0bc _rand
0x0c0 _dport_access_stall_other_cpu_start_wrap
0x0c4 _dport_access_stall_other_cpu_end_wrap
0x0c8 _wifi_apb80m_request
0x0cc _wifi_apb80m_release
0x0d0 _phy_disable
0x0d4 _phy_enable
0x0d8 _phy_update_country_info
0x0dc _read_mac
0x0e0 _timer_arm
0x0e4 _timer_disarm
0x0e8 _timer_done
0x0ec _timer_setfn
0x0f0 _timer_arm_us
0x0f4 _wifi_reset_mac
0x0f8 _wifi_clock_enable
0x0fc _wifi_clock_disable
0x100 _wifi_rtc_enable_iso
0x104 _wifi_rtc_disable_iso
0x108 _esp_timer_get_time
0x10c _nvs_set_i8
0x110 _nvs_get_i8
0x114 _nvs_set_u8
0x118 _nvs_get_u8
0x11c _nvs_set_u16
0x120 _nvs_get_u16
0x124 _nvs_open
0x128 _nvs_close
0x12c _nvs_commit
0x130 _nvs_set_blob
0x134 _nvs_get_blob
0x138 _nvs_erase_key
0x13c _get_random
0x140 _get_time
0x144 _random
0x148 _slowclk_cal_get
0x14c _log_write
0x150 _log_writev
0x154 _log_timestamp
0x158 _malloc_internal
0x15c _realloc_internal
0x160 _calloc_internal
0x164 _zalloc_internal
0x168 _wifi_malloc
0x16c _wifi_realloc
0x170 _wifi_calloc
0x174 _wifi_zalloc
0x178 _wifi_create_queue
0x17c _wifi_delete_queue
0x180 _coex_init
0x184 _coex_deinit
0x188 _coex_enable
0x18c _coex_disable
0x190 _coex_status_get
0x194 _coex_condition_set
0x198 _coex_wifi_request
0x19c _coex_wifi_release
0x1a0 _coex_wifi_channel_set
0x1a4 _coex_event_duration_get
0x1a8 _coex_pti_get
0x1ac _coex_schm_status_bit_clear
0x1b0 _coex_schm_status_bit_set
0x1b4 _coex_schm_interval_set
0x1b8 _coex_schm_interval_get
0x1bc _coex_schm_curr_period_get
0x1c0 _coex_schm_curr_phase_get
0x1c4 _coex_schm_process_restart
0x1c8 _coex_schm_register_cb
0x1cc _coex_register_start_cb
0x1d0 _regdma_link_set_write_wait_content
0x1d4 _sleep_retention_find_link_by_id
0x1d8 _coex_schm_flexible_period_set
0x1dc _coex_schm_flexible_period_get
0x1e0 _coex_schm_get_phase_by_idx
0x1e4 _magic
